Rank,Name,Score,Avatar
286,Max Jäger (AoC++),46,https://lh3.googleusercontent.com/a-/AOh14GiyYGLhGypSWcAf3BtLN5Y97wy1OYwSSD0i-_YwrMQ=s96-c
290,Rohan Jadvani,45,https://avatars0.githubusercontent.com/u/5459049?v=4
290,kuroneko2539,45,https://avatars3.githubusercontent.com/u/40987504?v=4
292,Karl Jiang,44,https://avatars0.githubusercontent.com/u/12506837?v=4
292,Eliot Partridge,44,https://avatars1.githubusercontent.com/u/5623770?v=4
292,(anonymous user #772758),44,
295,r_sreeram,43,
295,GeoffreyY,43,https://avatars1.githubusercontent.com/u/16662434?v=4
295,andy-k,43,https://avatars2.githubusercontent.com/u/4179698?v=4
295,Matt Bradley,43,https://avatars1.githubusercontent.com/u/819253?v=4
295,Ross Dempsey,43,https://lh6.googleusercontent.com/-cReWyYwB0eY/AAAAAAAAAAI/AAAAAAAAEyc/AMZuucnq9PL08gNsHQwoVJXqNAoFpdvTww/s96-c/photo.jpg
295,msullivan (AoC++),43,https://avatars2.githubusercontent.com/u/340349?v=4
301,elibaldwin (AoC++),42,https://avatars1.githubusercontent.com/u/8356733?v=4
301,Paul Martinez,42,https://lh3.googleusercontent.com/a-/AOh14GgJ5f4Z91AlHlSgYmbCfFhYpG214PZCF-EYcV7Q=s96-c
303,Tis_awesomeness,41,https://avatars2.githubusercontent.com/u/17386338?v=4
303,kdrag0n,41,https://avatars1.githubusercontent.com/u/7930239?v=4
303,Michael Phelps,41,https://avatars1.githubusercontent.com/u/29849378?v=4
303,Daniel Huang,41,https://avatars1.githubusercontent.com/u/24739403?v=4
303,clptrsn,41,https://avatars0.githubusercontent.com/u/8206100?v=4
308,Shane Mc Cormack (AoC++),40,https://avatars3.githubusercontent.com/u/189723?v=4
309,Evan Putra Limanto,39,https://lh5.googleusercontent.com/-gMTTGM-yORQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl8zqr3JOn-R6ln3_hDjLQ66zvOBQ/s96-c/photo.jpg
310,PsyMar2,38,
310,lukfugl,38,https://avatars3.githubusercontent.com/u/4177?v=4
310,bradleysigma,38,https://avatars0.githubusercontent.com/u/42644678?v=4
310,GeneralYouri (AoC++),38,https://avatars3.githubusercontent.com/u/6426074?v=4
314,Toni Fadjukoff,37,https://avatars2.githubusercontent.com/u/777453?v=4
314,amanj120,37,https://avatars2.githubusercontent.com/u/20341954?v=4
314,Locksfree,37,https://avatars3.githubusercontent.com/u/461703?v=4
317,Zachary Liu,36,https://avatars1.githubusercontent.com/u/376616?v=4
317,Valis,36,https://avatars3.githubusercontent.com/u/72483758?v=4
317,Michal Maršálek,36,https://lh3.googleusercontent.com/a-/AOh14GjCc14Q-yypgl3k_4WxIHp8U7vYlFdd-LFK-aw=s96-c
320,rand0musername,35,https://avatars3.githubusercontent.com/u/4183805?v=4
321,Austin,34,https://avatars1.githubusercontent.com/u/1741086?v=4
321,twattanawaroon,34,https://avatars1.githubusercontent.com/u/5386360?v=4
321,(anonymous user #675259) (AoC++),34,
324,John Novak,33,https://lh3.googleusercontent.com/-lUUMXCNyhE4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm14ubfKdijIDZyrspBEC5B1A4FzA/s96-c/photo.jpg
324,Maxime Goyette,33,https://lh3.googleusercontent.com/a-/AOh14GgWXXFmLP-jhbtG2J5TTvHM9GmeyIF034VQN4DY=s96-c
324,paileyq,33,https://avatars3.githubusercontent.com/u/41981177?v=4
324,tinau n.,33,https://lh3.googleusercontent.com/a-/AOh14Gi2kzJHLTXVXrFg_4jrqsedYvtBUmwRa2ek1yAJ=s96-c
328,Meithan West (AoC++),32,https://lh3.googleusercontent.com/a-/AOh14GgnLb0ICFjtTRHPGv46kw82Ewe0iKCbt-2yTt7rAiM=s96-c
328,Alex O'Neill,32,https://avatars1.githubusercontent.com/u/35673674?v=4
328,br-wa,32,https://avatars3.githubusercontent.com/u/24756800?v=4
328,brtwrst,32,https://avatars0.githubusercontent.com/u/6873862?v=4
332,Hazel P.,31,https://avatars1.githubusercontent.com/u/17240282?v=4
332,Eli Skeggs (AoC++),31,https://avatars2.githubusercontent.com/u/1348991?v=4
332,Ryan Norris,31,https://avatars2.githubusercontent.com/u/3620166?v=4
335,Gerrit0,30,https://avatars1.githubusercontent.com/u/19329837?v=4
335,Dan Eisenberg,30,http://pbs.twimg.com/profile_images/892786183750778880/BPJYkNWY.jpg
335,John Chew (AoC++),30,https://lh3.googleusercontent.com/a-/AOh14GiTX7EHbAMwBpn21vIeXheyZnE96YYKW1IdxBTlGQ=s96-c
335,Huy Truong Nam Nguyen,30,https://lh3.googleusercontent.com/-WDG1tBDgcdg/AAAAAAAAAAI/AAAAAAAAEao/AMZuuckBOOE-tIJqjTgtnkJHKtl9QK-uYg/s96-c/photo.jpg
339,Alexander Pfanne (AoC++),29,https://avatars1.githubusercontent.com/u/25307916?v=4
339,Adam Gausmann,29,https://avatars1.githubusercontent.com/u/6611767?v=4
339,Daniel Tomkins,29,https://lh6.googleusercontent.com/-4qoxtvURaNI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn3aiBW-FC7FFJZmq34W50v28pn-Q/s96-c/photo.jpg
339,el-iot,29,https://avatars3.githubusercontent.com/u/29724281?v=4
339,Thomas Collingwood,29,https://lh4.googleusercontent.com/-OZhbLVOsw3o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmE7YUcO7_S_4vddVMyZzi73vZeDg/s96-c/photo.jpg
344,Daniel Rejment,28,https://avatars2.githubusercontent.com/u/522718?v=4
345,Luke Moran,27,https://lh6.googleusercontent.com/-H0HcB4HQqN4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclv0gN6d6dJfNusUJ7sPV3REnQwqg/s96-c/photo.jpg
345,0e4ef622,27,https://avatars2.githubusercontent.com/u/8326135?v=4
347,artcz,26,https://avatars0.githubusercontent.com/u/126820?v=4
347,Matt Boehm (Sponsor),26,https://lh3.googleusercontent.com/a-/AOh14Gg16To8SVmE0T_e5qyZqzL4s8OqFtt1y3bWI_H8WQ=s96-c
349,Kenny K,25,https://avatars0.githubusercontent.com/u/1410675?v=4
349,Justin Kaufman (AoC++),25,https://avatars3.githubusercontent.com/u/2447416?v=4
349,Keith Simons,25,https://lh3.googleusercontent.com/a-/AOh14GjMtCmKxK72SXsetSVdcB0oFw64o3nGa1aOIi_N=s96-c
352,Kyle Mayes,24,https://avatars3.githubusercontent.com/u/1016104?v=4
352,jmgs,24,https://avatars2.githubusercontent.com/u/4029792?v=4
354,Timothy Elling,23,https://lh3.googleusercontent.com/a-/AOh14GijSABTZXDF4vG1E_jv905MXnxm1iH0v3qTCnd2=s96-c
355,Snild Dolkow (AoC++),22,https://lh3.googleusercontent.com/a-/AOh14GjUrBmd-5EDcLQ93I_RTVQn0o02g84ztR60KNzqlg=s96-c
355,(anonymous user #680872),22,
355,Cal,22,https://avatars3.githubusercontent.com/u/22542954?v=4
355,jorisvr,22,https://avatars2.githubusercontent.com/u/6183894?v=4
355,mebeim (AoC++),22,https://avatars1.githubusercontent.com/u/14198070?v=4
360,Markus Dlugi (AoC++),21,https://avatars2.githubusercontent.com/u/19145587?v=4
360,Albert Xing,21,https://avatars1.githubusercontent.com/u/2881206?v=4
360,alinajadebarnett,21,https://avatars0.githubusercontent.com/u/23726041?v=4
363,(anonymous user #614991),19,
363,Elliot Nelson (AoC++),19,https://avatars1.githubusercontent.com/u/58273?v=4
363,@irskep,19,http://pbs.twimg.com/profile_images/1051598333654036480/kbkBoMYR.jpg
363,BjornMagn,19,https://avatars1.githubusercontent.com/u/14334856?v=4
367,Colton Pauderis (AoC++),18,https://lh3.googleusercontent.com/a-/AOh14GjwvWZZVPyU4kmtqXQHWIO3tbGy85eyxn2Rg8qr=s96-c
367,Andrew,18,https://avatars1.githubusercontent.com/u/35786166?v=4
369,Erik Szalay,17,https://lh5.googleusercontent.com/-TomZWymGTB0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnaJWqYHP8ghl7MSbY5O9yI7fvImQ/s96-c/photo.jpg
369,Golovanov399,17,https://avatars0.githubusercontent.com/u/8750641?v=4
369,Michael Andrews (AoC++),17,https://avatars3.githubusercontent.com/u/2717516?v=4
369,Sarah Shader,17,https://lh4.googleusercontent.com/-clH8Sg2DDKc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclm41zxJ5kTC0-b8DuigAmSweHybw/s96-c/photo.jpg
369,(anonymous user #393546) (AoC++),17,
374,monster860,16,https://avatars2.githubusercontent.com/u/3681297?v=4
374,matthew bennett (AoC++),16,https://lh3.googleusercontent.com/a-/AOh14GjyvsgTB0I6tltOeDGeD9eULIAunac3bgve0m_e=s96-c
374,Serena Li,16,https://avatars0.githubusercontent.com/u/40174697?v=4
374,Kesavan Yogeswaran,16,https://avatars2.githubusercontent.com/u/10927758?v=4
374,Josh,16,https://avatars1.githubusercontent.com/u/8677174?v=4
379,krka (Sponsor),15,https://avatars1.githubusercontent.com/u/215741?v=4
379,Jakub Holubanský,15,https://lh3.googleusercontent.com/a-/AOh14Gj6pdRjJC_hc-0dMc26pYofCnOsUU3lixnADcON=s96-c
379,mbwall,15,https://avatars0.githubusercontent.com/u/11261878?v=4
382,cup2of2tea (AoC++),14,https://avatars3.githubusercontent.com/u/2098612?v=4
382,Kai Si (AoC++),14,https://avatars3.githubusercontent.com/u/5432214?v=4
384,Benjamin Congdon,13,https://avatars3.githubusercontent.com/u/706257?v=4
384,Greg d'Eon,13,https://lh3.googleusercontent.com/a-/AOh14GhOkbNdUfBGppbnCmE9Uv4Fh6yBFMiEffaJQMXbHw=s96-c
386,Springo,12,https://avatars0.githubusercontent.com/u/6750671?v=4
386,nathanlo99,12,https://avatars3.githubusercontent.com/u/12538060?v=4
388,sburuiana (AoC++),11,https://avatars0.githubusercontent.com/u/17294527?v=4
388,Ben Taylor,11,https://avatars2.githubusercontent.com/u/13704341?v=4
388,Adam Berger,11,https://lh3.googleusercontent.com/a-/AOh14GjNoBabUlJgj05UZFx7QAhcE6-T253uYa9NHTu3=s96-c
388,startrekdude,11,https://avatars1.githubusercontent.com/u/8427878?v=4
388,Maksim Pozdniakov,11,https://avatars3.githubusercontent.com/u/31820179?v=4
393,diamondburned,10,https://avatars2.githubusercontent.com/u/8463786?v=4
393,cyphase,10,https://avatars1.githubusercontent.com/u/977850?v=4
393,CameronByer,10,https://avatars0.githubusercontent.com/u/2117776?v=4
393,rctcwyvrn,10,https://avatars3.githubusercontent.com/u/49693777?v=4
397,Artun Duman,9,https://lh3.googleusercontent.com/-Ij3W5VLnj70/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmMSfS59nXMk-ZQNB0mYwLOk_-pyQ/s96-c/photo.jpg
397,(anonymous user #1087784),9,
397,(anonymous user #198392),9,
397,Bahnschrift,9,https://avatars1.githubusercontent.com/u/31170809?v=4
397,Andreas Grapentin,9,https://avatars0.githubusercontent.com/u/5459661?v=4
402,lucifer1004,8,https://avatars2.githubusercontent.com/u/13583761?v=4
402,Nnnes,8,https://avatars2.githubusercontent.com/u/28599170?v=4
402,daviecar,8,https://lh3.googleusercontent.com/a-/AOh14Gi1rWsfQsQMTdP9WhaHjkpyOI3xF9fL78Q9XcMz5g=s96-c
405,Keegan Carruthers-Smith,7,https://avatars1.githubusercontent.com/u/187831?v=4
405,Elliot Penson (AoC++),7,https://avatars1.githubusercontent.com/u/3412901?v=4
405,(anonymous user #1143933),7,
405,cushon,7,https://avatars0.githubusercontent.com/u/478458?v=4
409,@AzalaDotInfo,6,http://pbs.twimg.com/profile_images/728482194302230528/iikFfc2t.jpg
409,Icantknow,6,https://avatars2.githubusercontent.com/u/34726550?v=4
409,Hodobox,6,https://avatars0.githubusercontent.com/u/14320005?v=4
409,JacksGo,6,https://avatars1.githubusercontent.com/u/2984803?v=4
409,Unlocked,6,https://avatars1.githubusercontent.com/u/10186337?v=4
409,Rascal_Two,6,https://avatars0.githubusercontent.com/u/9403665?v=4
415,I3J03RN (AoC++),5,https://avatars1.githubusercontent.com/u/32684753?v=4
415,Clayton Smith (AoC++),5,https://lh3.googleusercontent.com/a-/AOh14GiPcAYGFuMaAFkrBmjcfzI_6PxN9PgGZAtRuhfKgA=s96-c
415,Bartosz Szreder,5,https://lh3.googleusercontent.com/-Mq39vhZx8H8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnbnUewhapKmmvbipRytk63BlEroQ/s96-c/photo.jpg
418,Arib Chowdhury,4,https://lh3.googleusercontent.com/a-/AOh14GhQdK1KOV3hQxRVdZP8988UpRxAHzM9lG0DGR3m=s96-c
418,honk bonk,4,https://lh3.googleusercontent.com/a-/AOh14GioW1hKQI-bW-yhn0VejJlCaLbIfh4tdUtSxwCf6Q=s96-c
418,devast8a,4,https://avatars2.githubusercontent.com/u/450822?v=4
418,Unum,4,https://avatars2.githubusercontent.com/u/33045716?v=4
418,Mohammad Hossein Sekhavat,4,https://lh3.googleusercontent.com/a-/AOh14GigPIaZCMwSkOSwnTE1ciYKKOHU1Ug1Z2JwtqOZiA=s96-c
423,SebbyLaw,3,https://avatars1.githubusercontent.com/u/44045823?v=4
423,Lypheo,3,https://avatars1.githubusercontent.com/u/45497420?v=4
423,yipdw,3,https://avatars3.githubusercontent.com/u/3859?v=4
423,vincentwoo (AoC++),3,https://avatars2.githubusercontent.com/u/613320?v=4
423,jsvana (AoC++),3,https://avatars0.githubusercontent.com/u/464639?v=4
428,ben blum,2,https://avatars3.githubusercontent.com/u/1820515?v=4
428,Andrew Howard (AoC++),2,https://avatars3.githubusercontent.com/u/3671163?v=4
428,Samo Kralj,2,https://lh3.googleusercontent.com/-YRkefsmNSIc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclrrx4rP9ZZ5qPv4OI_1hfAAm-69Q/s96-c/photo.jpg
428,LasaBir,2,https://avatars0.githubusercontent.com/u/4878558?v=4
432,Brian Zhou,1,https://lh5.googleusercontent.com/-SCThao8eO5E/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnT-9NP-DNSwSR6_dqRGiKO5865uw/s96-c/photo.jpg
432,(anonymous user #990868),1,
432,pkasting (AoC++),1,https://avatars3.githubusercontent.com/u/13443095?v=4
432,Gergely Elias,1,https://avatars2.githubusercontent.com/u/4532150?v=4
432,bjonnh,1,https://avatars1.githubusercontent.com/u/521867?v=4
432,Alexander Udalov,1,https://avatars3.githubusercontent.com/u/292714?v=4
