Rank,Name,Score,Avatar
69,@chaotic_iak,230,http://pbs.twimg.com/profile_images/969867768202805248/uRTa0w2_.jpg
70,Casey Bolton,229,https://lh3.googleusercontent.com/a-/AOh14Ghtopq-lV63PLFEtn8LemhXcKKYUCbp8EyWJkcB=s96-c
71,noblematt,226,https://avatars3.githubusercontent.com/u/25232684?v=4
72,azuline (AoC++),224,https://avatars0.githubusercontent.com/u/51880422?v=4
73,Kevin Yap (AoC++),217,https://avatars3.githubusercontent.com/u/2434728?v=4
74,Jimmy Mårdell (AoC++) (Sponsor),214,https://lh3.googleusercontent.com/a-/AOh14Ghf0_mO4MStuV0fJTy79B-YGSXzIhIRt7kf086ueKQ=s96-c
75,slushiegoose,213,https://avatars3.githubusercontent.com/u/38522108?v=4
75,@Kizby_,213,http://pbs.twimg.com/profile_images/1250267988487327744/Xn7OWi4z.png
77,(anonymous user #14124),212,
78,VeeArr (AoC++),208,
78,NathanClaus (AoC++),208,https://avatars1.githubusercontent.com/u/1071530?v=4
80,Pandu Rendradjaja,206,https://avatars0.githubusercontent.com/u/3111845?v=4
81,asottile,203,https://avatars3.githubusercontent.com/u/1810591?v=4
82,Thomas Feld,201,https://lh3.googleusercontent.com/a-/AOh14GhQiK4HUHj2Zv_kC8BPVh0CguTT4ti2IFfoEqmi=s96-c
83,joshuazlin,200,https://avatars1.githubusercontent.com/u/67082154?v=4
84,Fengyang Wang (AoC++),199,https://avatars2.githubusercontent.com/u/12903942?v=4
84,MarshallOfSound,199,https://avatars3.githubusercontent.com/u/6634592?v=4
86,Albert Tam,198,https://lh3.googleusercontent.com/a-/AOh14GgD59TqhRbBZ_uVR2zN0ffAIyyG8LiDfJESQoHIhQ=s96-c
87,mstang107,196,https://avatars2.githubusercontent.com/u/8260500?v=4
88,Kevin Wang (AoC++),194,https://avatars0.githubusercontent.com/u/1139798?v=4
88,Allis IO,194,https://avatars2.githubusercontent.com/u/25910688?v=4
90,kentonlam (AoC++),193,https://avatars3.githubusercontent.com/u/39479354?v=4
91,msg555,192,https://avatars1.githubusercontent.com/u/771072?v=4
91,(anonymous user #380),192,
93,jebouin (AoC++),190,https://avatars0.githubusercontent.com/u/23281929?v=4
94,Lyndon Fan,188,https://avatars2.githubusercontent.com/u/22367820?v=4
95,etotheipi1,187,
96,Rafał Burczyński,185,https://lh4.googleusercontent.com/-z16zdaJvm3M/AAAAAAAAAAI/AAAAAAAAA40/AMZuuckzo9KG-uu8pNBKcbjnd6id_LmXxw/s96-c/photo.jpg
97,Ian DeHaan,184,https://lh6.googleusercontent.com/-rJ070baQSbk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmQDIJDY3Q0LRWEjkIModsgtQVZ9g/s96-c/photo.jpg
98,val tron,179,https://lh3.googleusercontent.com/-0yp942713MY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm6ZZTDCe7Oy2f9Hz7pKmwhCYRScQ/s96-c/photo.jpg
98,Jay Foad (AoC++),179,https://avatars0.githubusercontent.com/u/108316?v=4
100,somebody1234,178,https://avatars3.githubusercontent.com/u/4046547?v=4
