Rank,Name,Score,Link,Avatar
1,Andrew Skalski,3327,,https://lh3.googleusercontent.com/a/ACg8ocLrJ8X0yK3SYrmYYDkdGdp5WaOujWvcw7pemvVT5Nc=s96-c
2,Sreeram Ramachandran,3109,https://github.com/r-sreeram,https://avatars.githubusercontent.com/u/11063840?v=4
3,dougg3,2613,,
4,Thomas Holmes,2351,,https://lh3.googleusercontent.com/-Pb-4m5AGrZU/AAAAAAAAAAI/AAAAAAAAAEQ/VTFHJLRTr1o/photo.jpg
5,0,2183,https://github.com/0,https://avatars1.githubusercontent.com/u/140823?v=4
6,ahorner,2168,https://github.com/ahorner,https://avatars.githubusercontent.com/u/116396?v=4
7,jneubrand,2164,https://github.com/jneubrand,https://avatars.githubusercontent.com/u/15683245?v=4
8,Austin,2132,,https://avatars1.githubusercontent.com/u/1741086?v=4
9,marcusstuhr,2110,,
10,jkseppan,2085,https://github.com/jkseppan,https://avatars.githubusercontent.com/u/92814?v=4
11,Paul Hankin,2081,,https://lh3.googleusercontent.com/a/AGNmyxbyKCnvZCQjdXY0kw88qOOWd_LTJwYog8_oU4Rf-Hs=s96-c
12,malisper,1913,https://github.com/malisper,https://avatars.githubusercontent.com/u/6210567?v=4
13,Joe LeGasse,1912,,https://avatars.githubusercontent.com/u/1391698?v=4
14,Talchas,1860,,https://lh3.googleusercontent.com/a/ACg8ocJxHRpS57CmE7KyVf-FiRSvrxgqxUWFjqLv8-hBiejN=s96-c
15,Igor Naverniouk,1804,,https://lh3.googleusercontent.com/a-/AOh14Gjfs47slyY6yRHGCSVcYDVFLnxsXz5tmBbr5wg15Q=s96-c
16,balidani,1737,https://github.com/balidani,https://avatars.githubusercontent.com/u/1805302?v=4
17,etotheipi1,1699,,
18,dsemi,1616,,https://avatars.githubusercontent.com/u/1354293?v=4
19,jweather,1544,https://github.com/jweather,https://avatars.githubusercontent.com/u/116757?v=4
20,djimbob,1511,,
21,Nick Parisi,1492,,https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg
22,phil_r,1485,,
23,Anthony Nguyen,1484,https://github.com/anthonynguyen,https://avatars.githubusercontent.com/u/1484987?v=4
24,ethankward,1465,,https://avatars0.githubusercontent.com/u/14932247?v=4
25,Pedro Osório,1448,https://github.com/pedrosorio,https://avatars.githubusercontent.com/u/1187614?v=4
26,Andrey Anurin,1427,,https://lh3.googleusercontent.com/a/ACg8ocLOnbaA8Lg0SmfjMhG3jXGYfl8Mf1iQtd5igF39S9ksarhf=s96-c
27,Ambrose Feinstein,1384,,https://lh3.googleusercontent.com/a/ACg8ocJiDqy4hGi5SIcK6bVrP2nERlMaYmPic85McewWJf7Yh1U=s96-c
28,edanaher,1356,https://github.com/edanaher,https://avatars1.githubusercontent.com/u/984691?v=4
29,Aneurysm9 (AoC++),1331,https://github.com/Aneurysm9,https://avatars.githubusercontent.com/u/473616?v=4
30,Lance Nathan,1320,,https://avatars.githubusercontent.com/u/1123113?v=4
31,Chris Egerton,1317,https://github.com/C0urante,https://avatars.githubusercontent.com/u/8636148?v=4
32,soolar,1292,,https://avatars.githubusercontent.com/u/1923854?v=3
33,msullivan,1290,https://github.com/msullivan,https://avatars.githubusercontent.com/u/340349?v=4
34,kalven,1285,,
35,minno726,1241,https://github.com/minno726,https://avatars.githubusercontent.com/u/1452356?v=4
36,asross,1235,https://github.com/asross,https://avatars.githubusercontent.com/u/1022564?v=3
37,Thomas Peters,1226,https://github.com/weters,https://avatars2.githubusercontent.com/u/78378?v=4
38,Erik Godard,1212,https://github.com/godarderik,https://avatars0.githubusercontent.com/u/522853?v=4
39,Tryneus,1147,https://github.com/Tryneus,https://avatars.githubusercontent.com/u/552910?v=4
40,(anonymous user #19765),1100,,
41,asterite,1082,https://github.com/asterite,https://avatars.githubusercontent.com/u/209371?v=4
