Rank,Name,Score,Link,Avatar
59,Thomas Feld,309,,https://lh3.googleusercontent.com/a/ACg8ocKMw_hMbtmRmrO0OZYoLqyrDmjVgqRBsEkAtEYuxmgE7A=s96-c
60,Zeyu Chen,300,https://github.com/zecookiez,https://avatars.githubusercontent.com/u/13069724?v=4
61,nim-ka,296,https://github.com/nim-ka,https://avatars.githubusercontent.com/u/35317534?v=4
62,Kevin Yap (AoC++),283,https://github.com/iKevinY,https://avatars.githubusercontent.com/u/2434728?v=4
63,Verulean,281,https://github.com/Verulean,https://avatars.githubusercontent.com/u/65474222?v=4
64,petertseng,280,https://github.com/petertseng,https://avatars.githubusercontent.com/u/346181?v=4
64,Magnus Hokland Hegdahl,280,https://github.com/Hegdahl,https://avatars.githubusercontent.com/u/48063801?v=4
64,zach1502,280,https://github.com/zach1502,https://avatars.githubusercontent.com/u/22262354?v=4
67,Zack Chroman,279,,https://lh3.googleusercontent.com/a/ACg8ocLlGth0htccyrMUAuYasVDMsUEGTFWNt7XWxUD_-_J5Wkw=s96-c
68,@AlexSkidanov,278,,http://pbs.twimg.com/profile_images/1455985948995436544/kjYEOVqb.jpg
69,Lucas M.,275,https://twitter.com/LacusM,http://pbs.twimg.com/profile_images/2093310765/2.jpg
70,Corentin THOMASSET (AoC++),274,https://github.com/CorentinTh,https://avatars.githubusercontent.com/u/25065347?v=4
71,(anonymous user #2330367),273,,
72,mrkeldon,269,,https://avatars.githubusercontent.com/u/2236689?v=4
73,(anonymous user #60233) (AoC++),268,,
74,Looking for an internship! (AoC++),265,https://github.com/danielhuang,https://avatars.githubusercontent.com/u/24739403?v=4
74,Gorane7,265,https://github.com/Gorane7,https://avatars.githubusercontent.com/u/29596327?v=4
76,Defelo (AoC++),262,https://github.com/Defelo,https://avatars.githubusercontent.com/u/41747605?v=4
77,Nikitosh,261,https://github.com/Nikitosh,https://avatars.githubusercontent.com/u/11414730?v=4
78,Andrew X. (Sponsor),257,,https://lh3.googleusercontent.com/a/ACg8ocLw63xhodpWeibVe30ZW11VwGa9vyuW2Ls657O4f026S9o=s96-c
79,Jan Verbeek,256,https://github.com/blyxxyz,https://avatars.githubusercontent.com/u/15526524?v=4
80,Kuma-TachiRen,255,,https://avatars.githubusercontent.com/u/39435800?v=4
81,Thomas,250,,https://lh3.googleusercontent.com/a/ACg8ocLJ-0Uk8S_Uz1zPqzAIhRuXDF8gUe-dHpwseqDpxVrWHg=s96-c
82,@Dusknt,248,https://twitter.com/Dusknt,http://pbs.twimg.com/profile_images/1730815807196987392/9RwtvtZh.png
82,Jan Arnež,248,,https://lh3.googleusercontent.com/a/ACg8ocIFir-HoHW0AWok4-sWGRQgxP4vQ4w5APeX2vpREkeD=s96-c
84,Daniel Gu,247,https://github.com/n0Oo0Oo0b,https://avatars.githubusercontent.com/u/84215197?v=4
85,Nathan Fenner (AoC++),241,https://github.com/Nathan-Fenner,https://avatars.githubusercontent.com/u/6179181?v=4
86,Tanner Hoke,240,,https://avatars.githubusercontent.com/u/8375463?v=4
