Rank,Name,Score,Link,Avatar
1,betaveros (AoC++),4052,https://github.com/betaveros,https://avatars.githubusercontent.com/u/3482833?v=4
2,ecnerwala,4022,https://github.com/ecnerwala,https://avatars.githubusercontent.com/u/7088371?v=4
3,goffrie,3784,,https://avatars.githubusercontent.com/u/1240398?v=4
4,Kevin Sun (Sponsor),3570,,https://lh3.googleusercontent.com/a-/AOh14Gh4eBsex0txh48Qy-DbpE4hDAfLdaKiGijGNjLzWg=s96-c
5,hyper-neutrino (AoC++),3180,https://github.com/hyper-neutrino,https://avatars.githubusercontent.com/u/25677805?v=4
6,(anonymous user #1510407) (AoC++),3125,,
7,Robert Xiao,2947,https://github.com/nneonneo,https://avatars.githubusercontent.com/u/75449?v=4
8,Brandon Lin,2888,https://github.com/blin00,https://avatars.githubusercontent.com/u/5819886?v=4
9,mserrano,2776,,https://avatars.githubusercontent.com/u/178065?v=4
10,tckmn,2764,https://github.com/tckmn,https://avatars.githubusercontent.com/u/2389333?v=4
11,jonathanpaulson (AoC++),2619,https://github.com/jonathanpaulson,https://avatars.githubusercontent.com/u/1028734?v=4
12,aleksejspopovs,2590,,https://avatars.githubusercontent.com/u/681080?v=4
13,xnkvbo,2588,,
14,dan-simon,2481,,https://avatars.githubusercontent.com/u/20461551?v=4
15,Antonio Molina,2424,,https://lh3.googleusercontent.com/a/AEdFTp4RNDwuPTM16jQl1Zg9xkEWMHmzZlELDnfowAmy=s96-c
16,leijurv (AoC++),2362,https://github.com/leijurv,https://avatars.githubusercontent.com/u/3837873?v=4
17,Vladislav Isenbaev (AoC++),2361,,https://avatars.githubusercontent.com/u/734585?v=4
18,Tom Holmes,2336,https://github.com/tsholmes,https://avatars.githubusercontent.com/u/2865426?v=4
19,bluepichu,2158,https://github.com/bluepichu,https://avatars.githubusercontent.com/u/1878074?v=4
20,Lewin Gan,2088,,https://lh3.googleusercontent.com/a/ALm5wu2ZsKR9-y0pixZOHkVNPzuga4e0CPPZ2e5lwdW-=s96-c
21,nthistle,2080,https://github.com/nthistle,https://avatars.githubusercontent.com/u/11429656?v=4
22,Carl Schildkraut,2076,,https://lh3.googleusercontent.com/a/ALm5wu34taS3lQqPdsjHT1-vlvw6R_UMG4kz5IjtL5fc=s96-c
23,Nathan Fenner (AoC++),2074,https://github.com/Nathan-Fenner,https://avatars.githubusercontent.com/u/6179181?v=4
24,mrphlip (AoC++),2069,https://github.com/mrphlip,https://avatars.githubusercontent.com/u/734414?v=4
25,mcpower,2027,https://twitter.com/mcpowr,http://pbs.twimg.com/profile_images/540516549035978752/uxSXOmKr.png
26,D. Salgado,2014,,https://lh3.googleusercontent.com/a/ALm5wu3QPRHdNRjYEwQyPfPrDwJ3uniA5AAe-MYwy68m=s96-c
27,Neal Wu (Sponsor),1891,https://github.com/nealwu,https://avatars.githubusercontent.com/u/726075?v=4
28,Oskar Haarklou Veileborg (AoC++),1874,https://github.com/BarrensZeppelin,https://avatars.githubusercontent.com/u/2784791?v=4
29,ZED.Charley William Thairo,1803,,https://avatars.githubusercontent.com/u/7867810?v=4
30,Anish Singhani,1677,https://github.com/asinghani,https://avatars.githubusercontent.com/u/12376116?v=4
31,PikMike,1601,,https://avatars.githubusercontent.com/u/7142123?v=4
32,5space,1547,https://github.com/5space,https://avatars.githubusercontent.com/u/20777336?v=4
33,Tris Emmy Wilson (AoC++),1481,https://github.com/an-empty-string,https://avatars.githubusercontent.com/u/681716?v=4
34,Superluminal Lag,1476,,https://lh3.googleusercontent.com/a/AATXAJwPkrCBeVqkqnHHfIfkp2IS7dED10kC-5E_w8Am=s96-c
35,Jimmy Mårdell (AoC++) (Sponsor),1464,,https://lh3.googleusercontent.com/a/ALm5wu2tM6FJsT1SlksLe-4MHqBXZ6jNUyjmdRKtaplcAKE=s96-c
36,LegionMammal978,1448,,https://avatars.githubusercontent.com/u/7880963?v=4
37,Zeyu Chen (AoC++),1444,https://github.com/zecookiez,https://avatars.githubusercontent.com/u/13069724?v=4
38,Golovanov399,1442,,https://avatars.githubusercontent.com/u/8750641?v=4
39,Oliver Ni (AoC++),1433,https://github.com/oliver-ni,https://avatars.githubusercontent.com/u/20295134?v=4
40,Joshua Chen,1411,,https://lh3.googleusercontent.com/a/ALm5wu2uLTK_wx_vLK5XRb8GwKtVoOsWyfmfhKTy16Qs=s96-c
41,dtinth (AoC++),1366,https://github.com/dtinth,https://avatars.githubusercontent.com/u/193136?v=4
42,peter50216,1334,https://github.com/peter50216,https://avatars.githubusercontent.com/u/891109?v=4
43,Maxwell Zen,1322,https://github.com/MaxwellZen,https://avatars.githubusercontent.com/u/41096494?v=4
44,arknave (AoC++),1263,https://github.com/arknave,https://avatars.githubusercontent.com/u/1834647?v=4
45,Tim Vermeulen (AoC++),1252,https://github.com/timvermeulen,https://avatars.githubusercontent.com/u/2904179?v=4
46,Henry X,1241,,https://lh3.googleusercontent.com/a-/AOh14Gh0PmtRST-iG1r1dChZz7C_c_r3HcCcst4FdeWW_w=s96-c
47,Craig Gidney (AoC++),1232,https://github.com/Strilanc,https://avatars.githubusercontent.com/u/79941?v=4
48,T6,1228,https://github.com/tjjfvi,https://avatars.githubusercontent.com/u/44031566?v=4
49,William Tsin,1210,https://github.com/bucketpotato01,https://avatars.githubusercontent.com/u/67671582?v=4
50,bjebert,1195,https://github.com/bjebert,https://avatars.githubusercontent.com/u/8327069?v=4
51,Zack Lee,1150,,https://lh3.googleusercontent.com/a/ALm5wu3MlF-_YEQtUEbBYrKn33kQfDwGGMjWtq-c64y-=s96-c
52,connorjayr (AoC++),1140,https://github.com/connorjayr,https://avatars.githubusercontent.com/u/5413757?v=4
53,jebouin (AoC++),1136,https://github.com/jebouin,https://avatars.githubusercontent.com/u/23281929?v=4
54,btnlq,1084,,https://avatars.githubusercontent.com/u/31797752?v=4
55,Ryan Hitchman,1068,https://github.com/rmmh,https://avatars.githubusercontent.com/u/211868?v=4
56,Ritwin Narra,1020,,https://lh3.googleusercontent.com/a/ALm5wu0VLFDCoxk-YPOZpv34TF6jOq341Oo820WwVG96mg=s96-c
57,msullivan (AoC++),1004,https://github.com/msullivan,https://avatars.githubusercontent.com/u/340349?v=4
58,Ian DeHaan,995,,https://lh3.googleusercontent.com/a/ALm5wu17UEycL1jIouq99D_EuExTuFknDar3DbAS73D3=s96-c
59,bcc32 (AoC++),984,https://github.com/bcc32,https://avatars.githubusercontent.com/u/1239097?v=4
60,Yosuke Sameshima,979,https://github.com/math314,https://avatars.githubusercontent.com/u/1277890?v=4
61,boboquack,973,,https://avatars.githubusercontent.com/u/29158942?v=4
62,Markus Himmel (AoC++),972,https://github.com/TwoFX,https://avatars.githubusercontent.com/u/2065352?v=4
63,Thomas Feld,970,,https://lh3.googleusercontent.com/a/ALm5wu3kzsgAW_AoFbBwD2ELMM-rpRolx0diV2C3j6Cr=s96-c
64,etotheipi1,963,,
65,ruuddotorg,962,,https://avatars.githubusercontent.com/u/3401028?v=4
66,kevinmchung (AoC++),959,https://github.com/kevinmchung,https://avatars.githubusercontent.com/u/4673620?v=4
66,hughcoleman,959,https://github.com/hughcoleman,https://avatars.githubusercontent.com/u/33557709?v=4
68,lucifer1004 (AoC++),925,https://github.com/lucifer1004,https://avatars.githubusercontent.com/u/13583761?v=4
69,Steven Hao (AoC++),923,https://github.com/stevenhao,https://avatars.githubusercontent.com/u/1988030?v=4
70,petertseng (AoC++),918,https://github.com/petertseng,https://avatars.githubusercontent.com/u/346181?v=4
71,Erik Amirell Eklöf (Eae02),913,,https://lh3.googleusercontent.com/a/ALm5wu0qL-V4AuwuixcIMt7_bX4bS_XQwRDKCECnNK_SqA=s96-c
72,SheepTester,892,https://github.com/SheepTester,https://avatars.githubusercontent.com/u/22133785?v=4
73,scanhex,888,https://github.com/scanhex,https://avatars.githubusercontent.com/u/44344009?v=4
74,glguy (AoC++),884,https://github.com/glguy,https://avatars.githubusercontent.com/u/12164?v=4
75,Epiphane (AoC++),883,https://github.com/Epiphane,https://avatars.githubusercontent.com/u/2568722?v=4
76,SanguineChameleon,880,,
77,larry,871,,
78,Waffle 3z,849,,https://lh3.googleusercontent.com/a/ALm5wu2CnA4T--DMVmJNV4UQr3Eg-ZMvQ97borQbpVat=s96-c
79,Erik Szalay,829,,https://lh3.googleusercontent.com/a/ALm5wu1KbTDVQhSOBroPHMILhYQXKB8UzEoLht9LinRh=s96-c
80,Xavier Cooney,828,,https://lh3.googleusercontent.com/a/ALm5wu3mVBXodRtpsOGt0SDreoNyAGN-yc7i_moZqHdfHw=s96-c
81,qpwoeirut,827,https://github.com/qpwoeirut,https://avatars.githubusercontent.com/u/19750159?v=4
82,Roman Elizarov,821,https://github.com/elizarov,https://avatars.githubusercontent.com/u/478679?v=4
83,nim-ka,816,https://github.com/nim-ka,https://avatars.githubusercontent.com/u/35317534?v=4
84,drebelsky,810,,https://avatars.githubusercontent.com/u/4641927?v=4
85,Max Murin,806,,https://avatars.githubusercontent.com/u/18634257?v=4
85,Alice 👩‍🎓 🌸,806,https://twitter.com/cdkrot,http://pbs.twimg.com/profile_images/1593969872685469697/qYytfvzX.jpg
87,Benedikt Werner,789,https://github.com/benediktwerner,https://avatars.githubusercontent.com/u/19309705?v=4
88,rhendric,786,,https://avatars.githubusercontent.com/u/1570964?v=4
89,alcatrazEscapee,779,https://github.com/alcatrazEscapee,https://avatars.githubusercontent.com/u/35673674?v=4
90,Måns Magnusson,772,https://github.com/exoji2e,https://avatars.githubusercontent.com/u/2479779?v=4
91,Joseph Durie,767,,https://lh3.googleusercontent.com/a/ALm5wu3JhyksuyKfscInUZTn-TVbJZpUCyh_QGX7un0p=s96-c
92,mayoff (AoC++),758,https://github.com/mayoff,https://avatars.githubusercontent.com/u/247531?v=4
93,Nick Gavalas (AoC++),751,https://github.com/ngavalas,https://avatars.githubusercontent.com/u/4701284?v=4
94,(anonymous user #815608),749,,
95,Kevin Sheng,743,,https://lh3.googleusercontent.com/a/AEdFTp6S5E_8I_8Rx8SCG2CFj68KlyeEKBOflExdtk9uDA=s96-c
96,GregorKikelj,736,https://github.com/GregorKikelj,https://avatars.githubusercontent.com/u/96022003?v=4
97,Yoshiap,735,,https://avatars.githubusercontent.com/u/575555?v=4
98,FillyAutomatic,707,https://github.com/FillyAutomatic,https://avatars.githubusercontent.com/u/95331621?v=4
99,Adib Surani,703,https://github.com/AdibSurani,https://avatars.githubusercontent.com/u/6822159?v=4
100,Kevin Yap (AoC++),689,https://github.com/iKevinY,https://avatars.githubusercontent.com/u/2434728?v=4
101,ast-ral,661,https://github.com/ast-ral,https://avatars.githubusercontent.com/u/33921117?v=4
102,KevinL10,659,https://github.com/KevinL10,https://avatars.githubusercontent.com/u/58920989?v=4
103,awychong,638,,https://avatars.githubusercontent.com/u/34116799?v=4
104,Evan Zhang,635,https://github.com/Ninjaclasher,https://avatars.githubusercontent.com/u/29607503?v=4
105,(anonymous user #516724),616,,
106,VasilyDK,614,,https://lh3.googleusercontent.com/a/ALm5wu2jCj7ALCeo6DnGQ54CcK3SmE2uLWO8eJpKInue=s96-c
107,Kroppeb (AoC++),609,https://github.com/Kroppeb,https://avatars.githubusercontent.com/u/7889478?v=4
108,liouzhou_101,586,,https://avatars.githubusercontent.com/u/17403309?v=4
109,David Robinson,581,https://twitter.com/drob,http://pbs.twimg.com/profile_images/876529727284039680/dfvG_Dy4.jpg
110,Tom Sirgedas,578,,https://lh3.googleusercontent.com/a/ALm5wu3_5-YnI0zdO1yCwaAO4xAvXfjIlgyB1ZNYZ463=s96-c
111,Patrick Hogg (AoC++),570,https://github.com/morgoth1145,https://avatars.githubusercontent.com/u/7890416?v=4
112,(anonymous user #60233) (AoC++),566,,
112,RedwolfPrograms,566,https://github.com/Radvylf,https://avatars.githubusercontent.com/u/42220798?v=4
114,Springo (AoC++),560,https://github.com/Springo,https://avatars.githubusercontent.com/u/6750671?v=4
115,(anonymous user #1760732),556,,
116,Tanner Hoke,548,,https://avatars.githubusercontent.com/u/8375463?v=4
117,vstrimaitis (AoC++),547,https://github.com/vstrimaitis,https://avatars.githubusercontent.com/u/14166032?v=4
118,0e4ef622,537,https://github.com/0e4ef622,https://avatars.githubusercontent.com/u/8326135?v=4
119,Alexander Haupt,529,https://github.com/alexanderhaupt,https://avatars.githubusercontent.com/u/56802914?v=4
120,Exaphis,514,https://github.com/Exaphis,https://avatars.githubusercontent.com/u/9776527?v=4
121,Jared Hughes,511,https://github.com/jared-hughes,https://avatars.githubusercontent.com/u/20214911?v=4
121,George Hotz (AoC++),511,https://github.com/geohot,https://avatars.githubusercontent.com/u/72895?v=4
123,Paul Draper,500,https://github.com/pauldraper,https://avatars.githubusercontent.com/u/1403271?v=4
124,val tron,499,,https://lh3.googleusercontent.com/a/ALm5wu3EkU6BF06zDTi1N7QvqU5SJuTpFmflMdhiDUb4=s96-c
125,Balint R,493,,https://lh3.googleusercontent.com/a/ALm5wu1uklLdYP8aaYoPYpb0sH8zdLSDsehUGeGwd0YZtg=s96-c
126,alexirpan,481,,https://avatars.githubusercontent.com/u/2453750?v=4
127,Md Abedin,469,https://github.com/MdAbedin,https://avatars.githubusercontent.com/u/18149939?v=4
128,dmed256 (AoC++),467,https://github.com/dmed256,https://avatars.githubusercontent.com/u/1812355?v=4
129,Kye W. Shi (AoC++),464,https://github.com/kwshi,https://avatars.githubusercontent.com/u/3887189?v=4
130,Joshua Wise (AoC++),463,,https://avatars.githubusercontent.com/u/87427?v=4
