Rank,Name,Score,Link,Avatar
1,betaveros (AoC++),3693,https://github.com/betaveros,https://avatars.githubusercontent.com/u/3482833?v=4
2,dan-simon,3119,,https://avatars.githubusercontent.com/u/20461551?v=4
3,(anonymous user #1510407) (AoC++),3042,,
4,Antonio Molina,2860,,https://lh3.googleusercontent.com/a/ACg8ocJdhI-sXd6G9P53ixK1raZ6rMp50TPdQ9XISV8QmMT3=s96-c
5,tckmn,2804,https://github.com/tckmn,https://avatars.githubusercontent.com/u/2389333?v=4
6,jonathanpaulson (AoC++),2754,https://github.com/jonathanpaulson,https://avatars.githubusercontent.com/u/1028734?v=4
7,leijurv (AoC++),2707,https://github.com/leijurv,https://avatars.githubusercontent.com/u/3837873?v=4
8,5space (AoC++),2704,https://github.com/5space,https://avatars.githubusercontent.com/u/20777336?v=4
9,D. Salgado,2663,,https://lh3.googleusercontent.com/a/ACg8ocKpFMUtxM9UwJ_KRpKFMjqZoSAQiQg5Ri1aOw78RsOW=s96-c
10,hyper-neutrino (AoC++),2609,https://github.com/hyper-neutrino,https://avatars.githubusercontent.com/u/25677805?v=4
11,Nathan Fenner (AoC++),2535,https://github.com/Nathan-Fenner,https://avatars.githubusercontent.com/u/6179181?v=4
12,boboquack,2517,,https://avatars.githubusercontent.com/u/29158942?v=4
13,David Wahler (AoC++),2459,https://github.com/dwahler,https://avatars.githubusercontent.com/u/548160?v=4
14,bluepichu,2447,https://github.com/bluepichu,https://avatars.githubusercontent.com/u/1878074?v=4
15,nthistle (AoC++),2386,https://github.com/nthistle,https://avatars.githubusercontent.com/u/11429656?v=4
16,Carl Schildkraut,2358,,https://lh3.googleusercontent.com/a/ACg8ocIHXu2AEsPOyTM4Zlzc8J3oiI4YxmIkQUQJNW_K2hOxZQ=s96-c
17,Ian DeHaan,2320,,https://lh3.googleusercontent.com/a/ACg8ocLSxYdqajdcUBda4XNBFYI7luQ2B68xSFZI1TtZvJEE=s96-c
18,nim-ka,2169,https://github.com/nim-ka,https://avatars.githubusercontent.com/u/35317534?v=4
19,Robert Xiao,2110,https://github.com/nneonneo,https://avatars.githubusercontent.com/u/75449?v=4
20,Tim Vermeulen (AoC++),2105,https://github.com/timvermeulen,https://avatars.githubusercontent.com/u/2904179?v=4
21,Michal Forišek,2096,,https://lh3.googleusercontent.com/a/ACg8ocKzsp18i0TVvhniP5my5eP6n2BAsyHKIQMHnRchznXgQYOM=s96-c
22,mrphlip (AoC++),1976,https://github.com/mrphlip,https://avatars.githubusercontent.com/u/734414?v=4
