Rank,Name,Score,Link,Avatar
1,Kevin Wang,4015,,https://lh3.googleusercontent.com/a/ALm5wu2e8JsN18Kcab7vyvvFt9R9ZAHD82cohjeYXX7MDBY=s96-c
2,petertseng (AoC++),3379,https://github.com/petertseng,https://avatars.githubusercontent.com/u/346181?v=4
3,Andrew Skalski,3197,,https://lh3.googleusercontent.com/a/ACg8ocLrJ8X0yK3SYrmYYDkdGdp5WaOujWvcw7pemvVT5Nc=s96-c
4,orez-,2858,https://github.com/orez-,https://avatars.githubusercontent.com/u/1037028?v=4
5,Paul Wild,2757,,https://lh3.googleusercontent.com/a/ACg8ocJk7keCzRi6nLeWn9e6h-tvcOdp79YC2EMb2F6c0_Ns=s96-c
6,xiaowuc1,2628,https://github.com/xiaowuc1,https://avatars.githubusercontent.com/u/3413714?v=4
7,Pedro Osório (AoC++),2624,https://github.com/pedrosorio,https://avatars.githubusercontent.com/u/1187614?v=4
8,Robert Xiao,2601,https://github.com/nneonneo,https://avatars.githubusercontent.com/u/75449?v=4
9,DjinnKahn,2596,,
10,Tris Emmy Wilson (AoC++),2563,https://github.com/an-empty-string,https://avatars.githubusercontent.com/u/681716?v=4
11,Kevin Yap (AoC++),2546,https://github.com/iKevinY,https://avatars.githubusercontent.com/u/2434728?v=4
12,(anonymous user #119362),2518,,
13,Samuel Damashek (AoC++),2462,,https://lh3.googleusercontent.com/a/AEdFTp5yrRFyn5T50EDRO_uE3crgeBsT_sqkFyp9pHV3mi8=s96-c
14,glguy (AoC++),2444,https://github.com/glguy,https://avatars.githubusercontent.com/u/12164?v=4
15,SimonPrins (AoC++),2393,,https://avatars.githubusercontent.com/u/6427655?v=4
16,arknave,2222,https://github.com/arknave,https://avatars.githubusercontent.com/u/1834647?v=4
17,Kenny K (AoC++),2175,https://github.com/r3dey3,https://avatars.githubusercontent.com/u/1410675?v=4
18,drysle,2172,,
19,Anthony Nguyen,2140,https://github.com/anthonynguyen,https://avatars.githubusercontent.com/u/1484987?v=4
20,Keegan Carruthers-Smith (AoC++),2026,https://github.com/keegancsmith,https://avatars.githubusercontent.com/u/187831?v=4
21,Michael C. Martin,1998,,https://avatars.githubusercontent.com/u/993503?v=4
22,gzgreg,1991,,https://avatars.githubusercontent.com/u/6545082?v=4
23,tpospisi,1942,https://github.com/tpospisi,https://avatars.githubusercontent.com/u/8901856?v=4
24,Stephen,1922,,https://avatars0.githubusercontent.com/u/1426848?v=4
25,(anonymous user #8336),1916,,
26,etotheipi1,1900,,
27,Peter Ruibal (AoC++),1877,https://github.com/fmoo,https://avatars1.githubusercontent.com/u/143504?v=4
28,Brandon Zhang,1840,,https://lh3.googleusercontent.com/a/ALm5wu1x16iFrM7pv8eTU7eWudq0tESp_H76pErDPAmW=s96-c
29,Colin Liotta (AoC++),1832,,https://lh3.googleusercontent.com/a/ACg8ocIHNKx6OxvWPKQgIP9isJPmT26CSicgQPJ6DN9UdRkPbA=s96-c
30,Ji An Yang,1816,,https://lh3.googleusercontent.com/a/AGNmyxYDWQzmugUuTirDBSl10KvwZLqVKENsHWjag2A1=s96-c
31,Daniel Tomkins,1809,,https://lh6.googleusercontent.com/-qlfn7P6gelY/AAAAAAAAAAI/AAAAAAAAAAA/AGDgw-gOiNp46_w-Te1bHO7MgvaGz2-cVg/mo/photo.jpg
32,Igor Naverniouk (AoC++),1803,,https://lh3.googleusercontent.com/a-/AOh14Gjfs47slyY6yRHGCSVcYDVFLnxsXz5tmBbr5wg15Q=s96-c
33,Daniel Rejment (AoC++),1727,https://github.com/rejment,https://avatars.githubusercontent.com/u/522718?v=4
34,kristjan (AoC++),1721,https://github.com/kristjan,https://avatars0.githubusercontent.com/u/34301?v=4
35,Austin,1712,,https://avatars1.githubusercontent.com/u/1741086?v=4
