Rank,Name,Score,Link,Avatar
1,(anonymous user #193354),4247,,
2,xiaowuc1,4230,https://github.com/xiaowuc1,https://avatars.githubusercontent.com/u/3413714?v=4
3,Robert Xiao (AoC++),3848,https://github.com/nneonneo,https://avatars.githubusercontent.com/u/75449?v=4
4,sciyoshi,3459,https://github.com/sciyoshi,https://avatars.githubusercontent.com/u/39950?v=4
5,Antonio Molina,3397,,https://lh3.googleusercontent.com/a/ACg8ocJdhI-sXd6G9P53ixK1raZ6rMp50TPdQ9XISV8QmMT3=s96-c
6,Simon Parent,3283,,https://avatars1.githubusercontent.com/u/7584490?v=4
7,petertseng,3135,https://github.com/petertseng,https://avatars.githubusercontent.com/u/346181?v=4
8,ethframe,3104,https://github.com/ethframe,https://avatars.githubusercontent.com/u/10119536?v=4
9,orez-,3103,https://github.com/orez-,https://avatars.githubusercontent.com/u/1037028?v=4
10,Michael Fogleman (AoC++),2929,https://github.com/fogleman,https://avatars.githubusercontent.com/u/520208?v=4
11,Lewin Gan (AoC++),2840,,https://lh3.googleusercontent.com/a/ACg8ocIcz2a2824IQ0vEuR5UGYiKlz6_Z166aNC0oeLPMRIL=s96-c
12,mcpower,2838,https://github.com/mcpower,https://avatars.githubusercontent.com/u/6015058?v=4
13,glguy (AoC++),2546,https://github.com/glguy,https://avatars.githubusercontent.com/u/12164?v=4
14,Brandon Zhang,2387,,https://lh3.googleusercontent.com/a/ALm5wu1x16iFrM7pv8eTU7eWudq0tESp_H76pErDPAmW=s96-c
15,zielmicha,2382,https://github.com/zielmicha,https://avatars.githubusercontent.com/u/364357?v=4
16,gengkev,2301,https://github.com/gengkev,https://avatars.githubusercontent.com/u/548628?v=4
17,Samuel Damashek,2226,,https://lh3.googleusercontent.com/a/AEdFTp5yrRFyn5T50EDRO_uE3crgeBsT_sqkFyp9pHV3mi8=s96-c
18,Jay Foad (AoC++),2168,https://github.com/jayfoad,https://avatars.githubusercontent.com/u/108316?v=4
19,Xin Wei Chow (AoC++),2061,,https://lh3.googleusercontent.com/a/ACg8ocJUloqG_dUlT08jVpW8RS--JQBtOr3ZO1WPOy6Evk473wo=s96-c
20,etotheipi1,2007,,
21,daveagp (AoC++),1981,https://github.com/daveagp,https://avatars2.githubusercontent.com/u/1429912?v=4
22,drysle,1877,,
23,Andrew Skalski,1767,,https://lh3.googleusercontent.com/a/ACg8ocLrJ8X0yK3SYrmYYDkdGdp5WaOujWvcw7pemvVT5Nc=s96-c
24,msullivan,1717,https://github.com/msullivan,https://avatars.githubusercontent.com/u/340349?v=4
